[System]
-- specify system name
Name: exp_3

[Parameter]
-- general syntax is parameter_name : value1, value2, бн
P_1 (int) : 0, 1
P_2 (int) : 0, 1
P_3 (int) : 0, 1
P_4 (int) : 0, 1
P_5 (int) : 0, 1
P_6 (int) : 0, 1
P_7 (int) : 0, 1
P_8 (int) : 0, 1
P_9 (int) : 0, 1
P_10 (int) : 0, 1
P_11 (int) : 0, 1
P_12 (int) : 0, 1
P_13 (int) : 0, 1
P_14 (int) : 0, 1
P_15 (int) : 0, 1
P_16 (int) : 0, 1
P_17 (int) : 0, 1
P_18 (int) : 0, 1
P_19 (int) : 0, 1
P_20 (int) : 0, 1

[Relation]
-- this section is optional
-- general format Rx : (p1, p2, бн, pk, Strength)

[Constraint]
-- this section is also optional
!(P_6 == 1 && P_4 == 0 && P_5 == 1 && P_14 == 1 && P_13 == 1 && P_8 == 1 && P_19 == 0 && P_2 == 0 && P_15 == 0 && P_9 == 0 && P_11 == 0 && P_7 == 0 && P_1 == 0)
!(P_8 == 1 && P_17 == 1 && P_18 == 1 && P_19 == 0 && P_7 == 0 && P_20 == 0)
!(P_11 == 0 && P_4 == 1 && P_13 == 0 && P_5 == 1 && P_9 == 0 && P_3 == 1 && P_19 == 0 && P_20 == 1 && P_17 == 0 && P_16 == 0 && P_18 == 0 && P_7 == 0 && P_2 == 1 && P_6 == 1 && P_15 == 1 && P_1 == 0 && P_14 == 1 && P_8 == 0 && P_12 == 1)
!(P_16 == 1 && P_20 == 1 && P_17 == 1 && P_3 == 0 && P_9 == 1 && P_12 == 0 && P_6 == 0 && P_7 == 1 && P_14 == 1 && P_10 == 0 && P_18 == 0 && P_19 == 1 && P_13 == 0 && P_15 == 0 && P_4 == 1 && P_2 == 0 && P_8 == 0 && P_1 == 0 && P_11 == 1 && P_5 == 1)
!(P_7 == 0 && P_19 == 0 && P_8 == 0 && P_9 == 0 && P_1 == 1 && P_4 == 0)
!(P_5 == 0 && P_2 == 1)
!(P_8 == 0 && P_2 == 1 && P_10 == 1 && P_19 == 1 && P_12 == 0 && P_14 == 0 && P_9 == 0 && P_18 == 1 && P_1 == 0 && P_7 == 0 && P_15 == 0 && P_11 == 1 && P_16 == 1 && P_6 == 0 && P_17 == 0 && P_13 == 0 && P_20 == 1)
!(P_15 == 0 && P_20 == 1 && P_14 == 0 && P_3 == 0 && P_7 == 1 && P_2 == 0 && P_6 == 1 && P_5 == 0 && P_17 == 1 && P_12 == 0 && P_19 == 1)
!(P_2 == 0 && P_15 == 0 && P_9 == 1 && P_3 == 1 && P_7 == 0 && P_17 == 0 && P_16 == 1 && P_4 == 0 && P_6 == 1 && P_8 == 0 && P_13 == 1 && P_1 == 0 && P_19 == 1)
!(P_5 == 1 && P_17 == 1 && P_12 == 1 && P_14 == 1 && P_11 == 0 && P_19 == 0 && P_1 == 0 && P_6 == 1 && P_10 == 0 && P_15 == 0)
!(P_10 == 1 && P_2 == 0 && P_16 == 1 && P_5 == 0 && P_13 == 0 && P_17 == 0 && P_12 == 0 && P_15 == 0 && P_4 == 1 && P_1 == 1 && P_8 == 0 && P_14 == 1 && P_19 == 1 && P_11 == 1 && P_3 == 1 && P_18 == 1 && P_6 == 1 && P_9 == 0)
!(P_20 == 0 && P_8 == 1 && P_5 == 0 && P_3 == 0 && P_16 == 1 && P_11 == 1 && P_13 == 0 && P_19 == 1 && P_2 == 0 && P_1 == 0 && P_10 == 0 && P_9 == 0 && P_7 == 0 && P_12 == 0 && P_4 == 0 && P_18 == 0)
!(P_6 == 0 && P_3 == 1)
!(P_6 == 1 && P_12 == 0 && P_18 == 0)
!(P_5 == 0 && P_18 == 0 && P_7 == 1 && P_19 == 1 && P_17 == 0 && P_9 == 1 && P_10 == 1 && P_1 == 0 && P_14 == 0 && P_13 == 1)

[Test Set]
-- set existing test set for extend mode. this is also optional
-- * represents don't-care value
P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20
1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1
0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0
0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0
0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1
0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1
0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0
1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0
1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1
0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0
1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1
0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1
1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0
0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0
1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1
1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1
0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0
0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1
0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0
0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1
1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1
0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0
1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0
1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1
1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1
0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0
0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1
0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1
1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1
1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0
1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1
1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1
0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1
0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1
1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0
0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1
0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0
0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0
0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0
0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0
1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0
1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0
0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0
0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1
1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0
0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0
1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1
0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1
0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1
1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1
1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0
0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1
0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0
0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1
1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1
1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0
1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1
1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1
0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0
0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0
1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1
0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0
1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1
0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0
1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1
0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1
1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0
1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0
1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0
1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0
0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0
0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1
1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1
0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1
1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0
1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0
1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0
1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0
0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1
0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1
1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1
1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0
0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0
0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1
0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0
0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1
1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0
1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0
1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0
0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1
1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0
1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0
1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1
1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1
0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1
0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1
1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1
1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1
1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0
1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1
0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1
1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1
0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0
0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1
1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0
0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0
0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0
1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1
1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1
0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0
1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0
1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0
0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1
